order_id,customer_name,country,product,quantity,price_usd,order_date,ship_date,port,status
1001, GlobalTrade Inc ,USA,coffee beans,120,5400,2024-01-05,2024-01-10,Miami,Shipped
1002,agroExport ,colombia,Sugar, 300 ,7200,05/01/2024,2024-01-12, Cartagena ,Pending
1003,Andes Foods, Peru ,Quinoa,150,,2024-01-07,2024-01-14,Callao,shipped
1004,NULL,Mexico,Avocado,200,6800,2024-01-08,2024/01/15,Veracruz,Shipped
1005,Pacific Traders,Chile ,salmon,85,10200,2024-01-09,2024-01-16, Valparaiso ,Delivered
1006,Atlantic Export,Brazil, Soybeans ,400,15000,2024-01-10,2024-01-18,Santos,shipped
1007,GreenFarm Ltd,ARGENTINA,Corn,350,8900,2024-01-11,,Buenos Aires,Pending
1008, ,USA,Wheat,500,12000,2024/01/12,2024-01-20,Houston,Delivered
1009,Sunrise Foods,Peru, quinoa ,180,4300,12-01-2024,2024-01-22,Callao,shipped
1010,Latam Export,Mexico,Avocado,210,7100,2024-01-13,2024-01-21,Veracruz,Delivered
1011,GlobalTrade Inc,USA,coffee beans,130,5600,2024-01-14,2024-01-23,Miami,Shipped
1012,AgroExport,COLOMBIA,Sugar,290,7100,14/01/2024,2024-01-25,Cartagena,Pending
1013,Andes Foods,Peru,Quinoa,170,4500,2024-01-15,2024-01-24,Callao,Shipped
1014,Pacific Traders,Chile,Salmon,90,10400,2024-01-16,2024-01-26,Valparaiso,Delivered
1015,Atlantic Export,Brazil,Soybeans,410,15200,2024-01-17,2024-01-27,Santos,Shipped
1016,GreenFarm Ltd,Argentina,Corn,360,,2024-01-18,2024-01-28,Buenos Aires,Pending
1017,NULL,USA,Wheat,480,11800,2024-01-19,2024-01-29,Houston,Delivered
1018,Sunrise Foods,Peru,Quinoa,175,4400,2024-01-20,2024-01-30,Callao,shipped
1019,Latam Export,Mexico, avocado ,205,7000,20/01/2024,2024-01-31,Veracruz,Delivered
1020,GlobalTrade Inc,USA,Coffee Beans,125,5500,2024-01-21,2024-02-01,Miami,Shipped
1021,AgroExport,Colombia,Sugar,305,7300,2024/01/22,2024-02-02,Cartagena,Pending
1022,Andes Foods,Peru,Quinoa,160,4200,2024-01-23,,Callao,Shipped
1023,Pacific Traders,Chile,Salmon,88,10100,23-01-2024,2024-02-04,Valparaiso,Delivered
1024,Atlantic Export,Brazil,Soybeans,395,14900,2024-01-24,2024-02-05,Santos,Shipped
1025,GreenFarm Ltd,Argentina,Corn,370,9000,2024-01-25,2024-02-06,Buenos Aires,Pending
1026,,USA,Wheat,490,11900,2024-01-26,2024-02-07,Houston,Delivered
1027,Sunrise Foods,Peru,Quinoa,182,4450,2024-01-27,2024-02-08,Callao,Shipped
1028,Latam Export,Mexico,Avocado,215,7200,27/01/2024,2024-02-09,Veracruz,Delivered
1029,GlobalTrade Inc,USA,Coffee beans,128,5520,2024-01-28,2024-02-10,Miami,Shipped
1030,AgroExport,Colombia,Sugar,310,7350,2024-01-29,2024-02-11,Cartagena,Pending
1031,Andes Foods,Peru,Quinoa,165,4300,2024-01-30,2024-02-12,Callao,Shipped
1032,Pacific Traders,Chile,Salmon,92,10500,2024-01-31,2024-02-13,Valparaiso,Delivered
1033,Atlantic Export,Brazil,Soybeans,405,15100,2024-02-01,2024-02-14,Santos,Shipped
1034,GreenFarm Ltd,Argentina,Corn,355,8800,2024-02-02,2024-02-15,Buenos Aires,Pending
1035,NULL,USA,Wheat,470,11750,2024-02-03,2024-02-16,Houston,Delivered
1036,Sunrise Foods,Peru,Quinoa,178,,2024-02-04,2024-02-17,Callao,Shipped
1037,Latam Export,Mexico,Avocado,208,7050,2024-02-05,2024-02-18,Veracruz,Delivered
1038, GlobalTrade Inc ,USA,Coffee Beans,132,5650,2024-02-06,2024-02-19,Miami,Shipped
1039,AgroExport ,colombia,Sugar,295,7250,06/02/2024,2024-02-20, Cartagena ,Pending
1040,Andes Foods, Peru ,Quinoa,168,4350,2024-02-07,2024-02-21,Callao,shipped
1041,Pacific Traders,Chile ,salmon,89,10300,2024-02-08,2024-02-22, Valparaiso ,Delivered
1042,Atlantic Export,Brazil,Soybeans,420,15300,2024-02-09,2024-02-23,Santos,Shipped
1043,GreenFarm Ltd,ARGENTINA,Corn,365,9100,2024-02-10,,Buenos Aires,Pending
1044,,USA,Wheat,495,12100,2024/02/11,2024-02-25,Houston,Delivered
1045,Sunrise Foods,Peru, quinoa ,183,4480,11-02-2024,2024-02-26,Callao,shipped
1046,Latam Export,Mexico,Avocado,212,7150,2024-02-12,2024-02-27,Veracruz,Delivered
1047,GlobalTrade Inc,USA,coffee beans,134,5700,2024-02-13,2024-02-28,Miami,Shipped
1048,AgroExport,COLOMBIA,Sugar,315,7400,13/02/2024,2024-02-29,Cartagena,Pending
1049,Andes Foods,Peru,Quinoa,172,4380,2024-02-14,2024-03-01,Callao,Shipped
1050,Pacific Traders,Chile,Salmon,95,10600,2024-02-15,2024-03-02,Valparaiso,Delivered
